ghi,dni,dhi,temp_air,wind_speed
0.0,0.0,0.0,25.2,7.4
0.0,0.0,0.0,25.0,7.3
0.0,0.0,0.0,25.0,6.9
0.0,0.0,0.0,24.8,8.1
0.0,0.0,0.0,24.5,9.7
22.0,0.0,21.0,24.4,10.4
152.0,60.9,123.0,25.3,10.4
285.0,111.3,233.0,26.3,9.4
362.0,102.8,296.0,27.3,11.0
422.0,78.0,371.0,28.1,12.4
508.0,69.5,434.0,28.9,10.6
463.0,72.0,405.0,29.5,9.0
432.0,38.9,413.0,30.0,8.9
398.0,21.5,372.0,30.1,7.4
371.0,51.7,319.0,30.3,7.0
264.0,59.1,241.0,30.1,6.8
115.0,34.5,106.0,29.0,5.8
33.0,12.1,33.0,28.2,6.2
0.0,0.0,0.0,27.5,4.7
0.0,0.0,0.0,26.8,6.0
0.0,0.0,0.0,26.3,5.1
0.0,0.0,0.0,25.9,4.0
0.0,0.0,0.0,25.7,3.2
0.0,0.0,0.0,25.5,1.5
